id,content_type,filename,size,tags,description,page_id,parent_id,thumbnail,width,height,db_file_id
667,image/jpeg,bubisher_ni_a_thumb.jpg,41630,,,,666,thumb,302,170,
668,image/jpeg,paisaje.jpg,54352,imágen_principal,,8,,,640,287,
669,image/jpeg,paisaje_thumb.jpg,39385,,,,668,thumb,379,170,
670,image/jpeg,lucanor0006_peq.jpg,72476,imágen_principal,,139,,,267,420,
671,image/jpeg,lucanor0006_peq_thumb.jpg,22499,,,,670,thumb,108,170,
672,image/jpeg,lucanor0001_peq.jpg,39528,extra,,139,,,226,420,
673,image/jpeg,lucanor0001_peq_thumb.jpg,14840,,,,672,thumb,91,170,
676,image/jpeg,lucanor0004_peq.jpg,50917,extra,,139,,,269,420,
677,image/jpeg,lucanor0004_peq_thumb.jpg,17224,,,,676,thumb,109,170,
678,image/jpeg,lucanor0002_peq.jpg,37905,extra,,139,,,264,420,
679,image/jpeg,lucanor0002_peq_thumb.jpg,14694,,,,678,thumb,107,170,
680,image/jpeg,escanear0009.jpg,124418,imágen_principal,,140,,,462,400,
681,image/jpeg,escanear0009_thumb.jpg,42525,,,,680,thumb,196,170,
682,image/jpeg,calendario_1.jpg,57192,imágen_principal,,141,,,350,240,
683,image/jpeg,calendario_1_thumb.jpg,48203,,,,682,thumb,248,170,
684,image/jpeg,ajedrez.jpg,43376,imágen_principal,,142,,,422,161,
685,image/jpeg,ajedrez_thumb.jpg,70144,,,,684,thumb,446,170,
686,image/jpeg,OCCHIO_NUVOLA01_PEQ.jpg,61175,imágen_principal,,143,,,248,420,
687,image/jpeg,OCCHIO_NUVOLA01_PEQ_thumb.jpg,19671,,,,686,thumb,100,170,
688,image/jpeg,pi1.jpg,8103,extra,,144,,,300,63,
689,image/jpeg,pi1_thumb.jpg,34786,,,,688,thumb,810,170,
690,image/jpeg,pi2.jpg,6249,extra,,144,,,300,41,
691,image/jpeg,pi2_thumb.jpg,38878,,,,690,thumb,1244,170,
692,image/jpeg,primos2.jpg,70903,imágen_principal,,146,,,420,276,
693,image/jpeg,primos2_thumb.jpg,48931,,,,692,thumb,259,170,
